Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
Maruti Vitara Brezza,2018.0,42252,2,DIESEL,TN-79,Manual,SUV,752000
Mahindra Scorpio,2021.0,27153,1,DIESEL,GJ-27,Manual,SUV,1611000
Renault Kwid,2020.0,46710,1,PETROL,MH-14,Automatic,HatchBack,531000
Maruti Baleno,2018.0,89242,1,PETROL,TS-08,Automatic,HatchBack,740000
Toyota YARIS,2018.0,21551,2,PETROL,UP-32,Automatic,Sedan,805000
Hyundai Elite i20,2014.0,76697,3,DIESEL,TN-02,Manual,HatchBack,520000
Maruti Swift Dzire,2012.0,57606,1,DIESEL,MH-03,Manual,Sedan,860000
Maruti Alto K10,2019.0,12639,2,PETROL,MH-01,Automatic,HatchBack,395000
Maruti Swift,2017.0,69895,1,PETROL,GJ-23,Manual,HatchBack,479000
Maruti Vitara Brezza,2019.0,77461,1,DIESEL,TN-74,Manual,SUV,803000
Hyundai Xcent,2018.0,68177,1,PETROL,GJ-06,Manual,Sedan,796000
Hyundai VENUE,2020.0,15337,1,PETROL,WB-26,Manual,SUV,709000
Hyundai VENUE,2021.0,54210,1,DIESEL,MH-46,Manual,SUV,1022000
Renault Kwid,2020.0,56485,1,PETROL,KA-15,Manual,HatchBack,412000
Maruti Swift,2018.0,46009,1,PETROL,KA-05,Automatic,HatchBack,656000
Mahindra XUV500,2016.0,64061,2,DIESEL,KA-01,Manual,Lux_SUV,1217000
Maruti New Wagon-R,2020.0,36518,1,CNG,DL-2C,Manual,HatchBack,565000
,,13794,1,PETROL,DL-14,Automatic,Sedan,976000
Ford FREESTYLE,2018.0,54813,1,PETROL,KA-51,Manual,SUV,607000
Maruti Dzire,2019.0,90330,2,DIESEL,TS-09,Manual,Sedan,483000
Hyundai Grand i10,2018.0,44690,1,PETROL,MH-06,Manual,HatchBack,491000
Maruti Baleno,2017.0,42655,1,PETROL,MH-12,Manual,HatchBack,670000
Maruti New Wagon-R,2020.0,67846,1,PETROL,UP-32,Manual,HatchBack,474000
Tata NEXON,2022.0,24223,1,DIESEL,MH-12,Manual,SUV,1227000
Maruti Ritz,2011.0,84623,1,PETROL,KA-04,Manual,HatchBack,327000
Hyundai Grand i10,2016.0,71337,1,PETROL,GJ-06,Manual,HatchBack,451000
Maruti Dzire,2018.0,67240,2,PETROL,DL-8C,Automatic,Sedan,684000
Tata NEXON,2019.0,4884,2,PETROL,MH-05,Automatic,SUV,817000
Nissan Micra Active,2018.0,47009,1,PETROL,TN-09,Manual,HatchBack,485000
Maruti Ciaz,2018.0,24385,1,PETROL,GJ-27,Manual,Sedan,748000
Maruti Dzire,2019.0,51377,1,PETROL,TS-08,Automatic,Sedan,672000
Maruti Baleno,2019.0,64891,2,PETROL,RJ-46,Manual,HatchBack,569000
Honda Jazz,2021.0,35562,1,PETROL,KA-20,Manual,HatchBack,850000
Maruti Swift,2013.0,29386,1,PETROL,MH-03,Manual,HatchBack,397000
Maruti S PRESSO,2022.0,7324,1,PETROL,KA-02,Manual,HatchBack,526000
Maruti Ciaz,2015.0,44220,2,PETROL,GJ-01,Automatic,Sedan,564000
Toyota YARIS,2018.0,68950,2,PETROL,TS-07,Automatic,Sedan,766000
Renault Kiger,2021.0,14598,1,PETROL,KA-04,Manual,HatchBack,814000
Maruti Celerio,2015.0,68755,3,CNG,MH-48,Manual,HatchBack,369000
Hyundai AURA,2022.0,28673,1,DIESEL,UP-32,Automatic,Sedan,866650
KIA SELTOS,2020.0,18651,1,PETROL,DL-14,Automatic,SUV,1567000
Honda City,2015.0,92675,2,PETROL,UP-32,Manual,Sedan,517000
Honda Brio,2012.0,54288,1,PETROL,HR-51,Manual,HatchBack,229000
Honda City,2016.0,34796,1,PETROL,MH-14,Automatic,Sedan,764000
Maruti IGNIS,2017.0,107141,1,DIESEL,TN-59,Manual,HatchBack,586000
Maruti Celerio X,2019.0,111212,2,PETROL,,Manual,HatchBack,437000
Honda City,2014.0,122143,2,PETROL,,Manual,Sedan,229000
Maruti Swift,2015.0,69981,1,DIESEL,UP-16,Manual,HatchBack,372000
Maruti Vitara Brezza,2022.0,22783,2,PETROL,PB-10,Manual,SUV,868000
Maruti Swift Dzire,2013.0,73371,1,PETROL,HR-29,Manual,Sedan,398000
Tata Tiago,2018.0,91442,1,PETROL,GJ-01,Automatic,HatchBack,498000
Hyundai Tucson New,2018.0,76259,1,DIESEL,MH-12,Automatic,Lux_SUV,1629000
Honda Amaze,2013.0,116737,1,DIESEL,KA-51,Manual,Sedan,649000
Hyundai NEW I20,2021.0,29004,1,PETROL,TN-14,Manual,HatchBack,776000
Maruti Swift Dzire,2016.0,102359,1,PETROL,,Manual,Sedan,455000
Honda City,2019.0,61148,1,PETROL,GJ-01,Automatic,Sedan,1052000
Honda City,2018.0,36816,1,PETROL,KA-03,Manual,Sedan,800000
Maruti Dzire,2017.0,53873,1,DIESEL,TS-07,Automatic,Sedan,781000
Maruti Vitara Brezza,2016.0,77722,1,DIESEL,HR-30,Manual,SUV,634000
Renault Kwid,2017.0,39992,2,PETROL,TS-08,Manual,HatchBack,338000
Maruti Alto,2011.0,107439,2,PETROL,,Manual,HatchBack,163000
Maruti Swift,2017.0,25941,1,PETROL,GJ-03,Manual,HatchBack,576000
Maruti BREZZA,2022.0,16038,1,PETROL,TS-15,Automatic,SUV,1402000
Maruti Wagon R 1.0,2016.0,70732,1,PETROL,KA-50,Automatic,HatchBack,427000
Hyundai Verna,2017.0,114451,1,DIESEL,KA-13,Manual,Sedan,800000
Maruti Dzire,2019.0,33497,1,PETROL,BR-01,Manual,Sedan,670000
Hyundai VENUE,2019.0,76548,2,PETROL,TN-05,Automatic,SUV,891000
Maruti Wagon R 1.0,2013.0,30418,2,PETROL,TN-06,Manual,HatchBack,327000
Tata Tiago,2018.0,46139,2,PETROL,KA-03,Manual,HatchBack,510000
Maruti Celerio,2019.0,35898,1,PETROL,GJ-19,Manual,HatchBack,469000
Skoda Rapid,2013.0,24632,1,PETROL,TS-08,Manual,Sedan,697000
Maruti Swift,2015.0,77147,3,PETROL,KA-53,Manual,HatchBack,467000
Tata NEXON,2021.0,24218,1,PETROL,RJ-23,Automatic,SUV,1049000
Maruti S PRESSO,2021.0,10218,1,PETROL,KA-17,Manual,HatchBack,512000
Mahindra Thar,2021.0,10290,2,PETROL,TS-07,Automatic,SUV,1711000
Maruti Dzire,2018.0,79019,1,DIESEL,KA-43,Manual,Sedan,758000
Toyota Etios Liva,2018.0,26570,1,DIESEL,UP-16,Manual,HatchBack,592000
Maruti Celerio,2022.0,3483,1,PETROL,MH-12,Automatic,HatchBack,731000
Maruti Baleno,2021.0,20331,1,PETROL,GJ-01,Manual,HatchBack,657000
Maruti Swift,2014.0,79320,1,PETROL,DL-4C,Manual,HatchBack,340000
Maruti New Wagon-R,2021.0,44293,1,CNG,HR-26,Manual,HatchBack,574000
Maruti Baleno,2017.0,32062,1,PETROL,DL-14,Manual,HatchBack,581000
Hyundai NEW SANTRO,2021.0,54826,1,CNG,DL-9C,Manual,HatchBack,534000
Maruti Alto 800,2018.0,61029,2,PETROL,GJ-21,Manual,HatchBack,326000
Maruti Baleno,2018.0,101696,2,DIESEL,DL-11,Manual,HatchBack,606000
Maruti Celerio,2015.0,17140,1,PETROL,MH-12,Manual,HatchBack,439000
Renault Kwid,2019.0,12153,1,PETROL,DL-12,Manual,HatchBack,444000
Renault Duster,2021.0,7353,1,PETROL,HR-98,Manual,SUV,1117000
Maruti BREZZA,2023.0,3292,1,PETROL,KA-05,Manual,SUV,1427000
Tata Tiago,2021.0,30359,2,PETROL,TS-08,Manual,HatchBack,577000
Maruti Celerio,2017.0,88379,2,PETROL,TS-07,Manual,HatchBack,435000
Maruti Swift Dzire,2012.0,69680,1,PETROL,HR-26,Manual,Sedan,564000
Hyundai GRAND I10 NIOS,2022.0,17428,1,CNG,DL-7C,Manual,HatchBack,719000
